,track_name,artist(s)_name,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,bpm,key,mode,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%
26,People,Libianca,1.0,2022.0,12.0,2.0,3506.0,56.0,373199958.0,105.0,64.0,169.0,8.0,529.0,198.0,A#,Minor,59.0,71.0,42.0,55.0,0.0,10.0,7.0
27,Overdrive,Post Malone,1.0,2023.0,7.0,14.0,410.0,36.0,14780425.0,36.0,32.0,31.0,1.0,26.0,140.0,C#,Major,56.0,48.0,73.0,0.0,0.0,35.0,4.0
28,Enchanted (Taylor's Version),Taylor Swift,1.0,2023.0,7.0,7.0,148.0,24.0,39578178.0,32.0,93.0,8.0,2.0,5.0,82.0,G#,Major,51.0,22.0,53.0,1.0,0.0,15.0,3.0
29,golden hour,JVKE,1.0,2022.0,7.0,15.0,4511.0,36.0,751134527.0,70.0,58.0,109.0,18.0,230.0,94.0,C#,Minor,51.0,14.0,59.0,65.0,18.0,25.0,3.0
30,Here With Me,d4vd,1.0,2022.0,7.0,17.0,3246.0,23.0,635412045.0,94.0,85.0,68.0,1.0,84.0,132.0,E,Major,58.0,27.0,48.0,50.0,0.0,12.0,3.0
31,CORAZÃ¯Â¿Â½Ã¯Â¿Â½N VA,Maria Becerra,1.0,2023.0,6.0,22.0,370.0,20.0,43857627.0,12.0,16.0,18.0,4.0,93.0,98.0,C#,Major,68.0,40.0,79.0,33.0,0.0,30.0,6.0
32,Back To December (Taylor's Version),Taylor Swift,1.0,2023.0,7.0,7.0,139.0,17.0,39228929.0,16.0,72.0,5.0,0.0,8.0,142.0,D,Major,50.0,20.0,64.0,1.0,0.0,12.0,3.0
33,Fast Car,Luke Combs,1.0,2023.0,3.0,24.0,1446.0,12.0,157058870.0,57.0,97.0,35.0,0.0,429.0,98.0,G#,Major,71.0,67.0,60.0,19.0,0.0,12.0,3.0
34,What It Is (Solo Version),Doechii,1.0,2023.0,3.0,17.0,804.0,25.0,95131998.0,29.0,76.0,24.0,0.0,162.0,172.0,C#,Minor,74.0,76.0,76.0,6.0,0.0,10.0,9.0
35,DonÃ¯Â¿Â½Ã¯Â¿Â½Ã¯Â¿Â½t Bl,Taylor Swift,1.0,2017.0,11.0,8.0,4875.0,23.0,685032533.0,19.0,45.0,0.0,0.0,10.0,136.0,A,Minor,62.0,19.0,53.0,11.0,0.0,6.0,4.0
36,Still With You,Jung Kook,1.0,2020.0,6.0,5.0,31.0,39.0,38411956.0,2.0,107.0,8.0,0.0,0.0,88.0,C#,Minor,53.0,34.0,47.0,9.0,0.0,83.0,4.0
37,Say Yes To Heaven,Lana Del Rey,1.0,2023.0,3.0,17.0,2000.0,46.0,127567540.0,49.0,105.0,63.0,1.0,0.0,100.0,F#,Minor,49.0,17.0,35.0,71.0,9.0,11.0,3.0
38,Snooze,SZA,1.0,2022.0,12.0,9.0,2839.0,25.0,399686758.0,58.0,156.0,42.0,1.0,236.0,143.0,F,Major,56.0,39.0,55.0,14.0,0.0,11.0,13.0
39,Take Two,BTS,1.0,2023.0,6.0,9.0,674.0,47.0,118482347.0,20.0,106.0,25.0,4.0,78.0,93.0,G,Major,62.0,57.0,59.0,3.0,0.0,38.0,3.0
40,Lover,Taylor Swift,1.0,2012.0,1.0,1.0,8448.0,23.0,882831184.0,160.0,110.0,163.0,0.0,5.0,206.0,G,Major,43.0,50.0,55.0,50.0,0.0,15.0,10.0
41,Chemical,Post Malone,1.0,2023.0,4.0,14.0,2528.0,39.0,172825906.0,56.0,91.0,59.0,3.0,486.0,170.0,D,Major,50.0,37.0,90.0,0.0,0.0,12.0,5.0
42,New Jeans,NewJeans,1.0,2023.0,7.0,7.0,77.0,35.0,29562220.0,8.0,166.0,4.0,4.0,34.0,134.0,E,Minor,81.0,53.0,72.0,51.0,0.0,12.0,5.0
43,Primera Cita,Carin Leon,1.0,2022.0,4.0,20.0,266.0,27.0,77309611.0,6.0,40.0,6.0,6.0,202.0,158.0,A#,Major,54.0,50.0,40.0,61.0,0.0,10.0,6.0
